Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
71 Machine and stationary plant operators,7115 Plastics or rubber production machine operator,711514 Die setter - plastics,Male,1496,60478,57558,60707,58676,62251,59265
71 Machine and stationary plant operators,7115 Plastics or rubber production machine operator,711514 Die setter - plastics,Total,1788,57654,54503,57730,55384,59330,56300
71 Machine and stationary plant operators,7115 Plastics or rubber production machine operator,711515 Fabricator - fibreglass,Female,37,37141,36991,36001,36585,38342,37436
71 Machine and stationary plant operators,7115 Plastics or rubber production machine operator,711515 Fabricator - fibreglass,Male,1034,49578,48015,49061,49371,51805,50498
71 Machine and stationary plant operators,7115 Plastics or rubber production machine operator,711515 Fabricator - fibreglass,Total,1071,49148,47491,48608,49109,51340,49894
71 Machine and stationary plant operators,7115 Plastics or rubber production machine operator,711516 Miller - tyres,Total,189,49539,45472,48986,46273,50892,46847
71 Machine and stationary plant operators,7116 Sewing machinist,711611 Curtain maker,Female,5062,34853,35422,31835,34473,35708,36343
71 Machine and stationary plant operators,7116 Sewing machinist,711611 Curtain maker,Male,542,41147,39615,39201,40115,42441,40869
71 Machine and stationary plant operators,7116 Sewing machinist,711611 Curtain maker,Total,5604,35461,35816,32544,35067,36359,36738
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711711 Footwear production machine operator,Female,61,39215,37538,35272,37089,39969,38253
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711711 Footwear production machine operator,Male,93,46820,45179,45035,43696,48236,46864
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711711 Footwear production machine operator,Total,154,43807,40885,41168,39027,44961,42914
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711712 Factory worker - hide and skin processing machine operator,Female,84,37310,37887,37277,37726,38513,38764
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711712 Factory worker - hide and skin processing machine operator,Male,240,44655,43041,43321,42879,46268,44107
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711712 Factory worker - hide and skin processing machine operator,Total,324,42751,41123,41753,41025,44251,42965
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711713 Knitting machine operator,Female,153,34548,36463,32811,36124,35463,37364
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711713 Knitting machine operator,Male,112,49538,46976,48265,46916,50813,48050
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711713 Knitting machine operator,Total,265,40883,39673,39358,39685,41951,40320
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711714 Machine operator - textile dyeing and finishing,Female,179,39278,39539,37759,39335,40240,40536
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711714 Machine operator - textile dyeing and finishing,Male,313,56671,53351,55941,53990,58225,54640
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711714 Machine operator - textile dyeing and finishing,Total,492,50343,48289,49373,48059,51682,49140
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711715 Weaver,Female,28,52467,50066,39310,44661,53003,50964
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711715 Weaver,Male,24,54407,52351,52150,49709,55477,52708
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711715 Weaver,Total,52,53362,50066,45236,46679,54145,50964
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711716 Machine operator - yarn carding and spinning,Female,21,43978,43989,42301,45107,45056,45107
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711716 Machine operator - yarn carding and spinning,Male,64,55117,53655,51842,51548,56982,53875
71 Machine and stationary plant operators,7117 Textile or footwear production machine operator,711716 Machine operator - yarn carding and spinning,Total,85,52365,49133,49457,48049,54035,51392
71 Machine and stationary plant operators,7119 Other machine operator,711911 Chemical production machine operator,Female,322,53788,48188,53089,49271,55375,49798
71 Machine and stationary plant operators,7119 Other machine operator,711911 Chemical production machine operator,Male,1536,68000,61894,67959,62460,70080,63977
71 Machine and stationary plant operators,7119 Other machine operator,711911 Chemical production machine operator,Total,1858,65537,59369,65375,60152,67530,61634
71 Machine and stationary plant operators,7119 Other machine operator,711912 Motion picture projectionist,Female,47,43633,39777,43093,40369,45083,40217
71 Machine and stationary plant operators,7119 Other machine operator,711912 Motion picture projectionist,Male,164,45687,39577,42047,38876,47010,40607
71 Machine and stationary plant operators,7119 Other machine operator,711912 Motion picture projectionist,Total,211,45229,39777,42282,39316,46581,40394
71 Machine and stationary plant operators,7119 Other machine operator,711913 Sand-blaster,Female,6,75470,73387,70780,72302,78924,75576
71 Machine and stationary plant operators,7119 Other machine operator,711913 Sand-blaster,Male,1332,74462,61703,72586,63020,77651,64539
71 Machine and stationary plant operators,7119 Other machine operator,711913 Sand-blaster,Total,1338,74466,61703,72577,63020,77657,64539
71 Machine and stationary plant operators,7119 Other machine operator,711914 Sterilisation technician,Female,1499,44706,46234,44456,46798,46084,47379
71 Machine and stationary plant operators,7119 Other machine operator,711914 Sterilisation technician,Male,641,49748,50367,49705,51721,51330,51853
71 Machine and stationary plant operators,7119 Other machine operator,711914 Sterilisation technician,Total,2140,46216,47543,46028,48784,47656,49046
71 Machine and stationary plant operators,7119 Other machine operator,711999 Amusement park attendant - rides,Female,4201,48117,43393,47533,43667,49471,44860
71 Machine and stationary plant operators,7119 Other machine operator,711999 Amusement park attendant - rides,Male,28192,66167,60448,65958,61603,68758,62984
71 Machine and stationary plant operators,7119 Other machine operator,711999 Amusement park attendant - rides,Total,32393,63826,58097,63565,59073,66255,60390
71 Machine and stationary plant operators,"7121 Crane, hoist or lift operator",712111 Construction worker - crane operator,Female,180,55967,44273,54181,43054,58259,48099
71 Machine and stationary plant operators,"7121 Crane, hoist or lift operator",712111 Construction worker - crane operator,Male,9648,95415,89179,93727,89753,101014,94201
71 Machine and stationary plant operators,"7121 Crane, hoist or lift operator",712111 Construction worker - crane operator,Total,9828,94692,88336,93002,89152,100231,93447
71 Machine and stationary plant operators,"7122 Driller, miner or shot firer",712211 Drilling plant operator,Female,133,94999,94491,98552,96244,97498,96359
71 Machine and stationary plant operators,"7122 Driller, miner or shot firer",712211 Drilling plant operator,Male,8298,103667,97518,103637,100960,107788,102326
71 Machine and stationary plant operators,"7122 Driller, miner or shot firer",712211 Drilling plant operator,Total,8431,103530,97496,103558,100900,107626,102285
71 Machine and stationary plant operators,"7122 Driller, miner or shot firer",712212 Coal miner,Female,2202,87426,87786,88890,90825,89898,90606
71 Machine and stationary plant operators,"7122 Driller, miner or shot firer",712212 Coal miner,Male,30429,117302,117380,118782,121342,120992,121100
71 Machine and stationary plant operators,"7122 Driller, miner or shot firer",712212 Coal miner,Total,32631,115286,115628,116755,119403,118893,119269
71 Machine and stationary plant operators,"7122 Driller, miner or shot firer",712213 Blasting worker - mining,Female,157,87532,95259,92512,102965,90525,98529
71 Machine and stationary plant operators,"7122 Driller, miner or shot firer",712213 Blasting worker - mining,Male,2559,110231,113959,112188,117496,113850,117499
71 Machine and stationary plant operators,"7122 Driller, miner or shot firer",712213 Blasting worker - mining,Total,2716,108919,112995,111057,116648,112501,116676
71 Machine and stationary plant operators,7123 Metal press operator,712311 Die setter - metals,Female,108,53377,46740,51087,46129,54767,47871
71 Machine and stationary plant operators,7123 Metal press operator,712311 Die setter - metals,Male,2084,72973,67847,72167,67589,74827,69829
71 Machine and stationary plant operators,7123 Metal press operator,712311 Die setter - metals,Total,2192,72008,65942,71121,66491,73838,68681
71 Machine and stationary plant operators,7129 Other stationary plant operator,712911 Attendant - boiler,Female,11,61418,68396,56586,65236,63044,71817
71 Machine and stationary plant operators,7129 Other stationary plant operator,712911 Attendant - boiler,Male,802,81424,77435,80208,77695,83835,79984
71 Machine and stationary plant operators,7129 Other stationary plant operator,712911 Attendant - boiler,Total,813,81153,77399,79886,77026,83554,79885
71 Machine and stationary plant operators,7129 Other stationary plant operator,712912 Bulk materials handling plant operator,Female,549,72578,70774,73583,72099,75364,73253
71 Machine and stationary plant operators,7129 Other stationary plant operator,712912 Bulk materials handling plant operator,Male,5262,85780,81586,85185,83484,88789,85062
71 Machine and stationary plant operators,7129 Other stationary plant operator,712912 Bulk materials handling plant operator,Total,5811,84533,80552,84086,82586,87521,84138
71 Machine and stationary plant operators,7129 Other stationary plant operator,712913 Miller - cement,Female,19,67313,68594,69080,70930,69684,70415
71 Machine and stationary plant operators,7129 Other stationary plant operator,712913 Miller - cement,Male,608,80422,78487,80375,81114,83289,81201
71 Machine and stationary plant operators,7129 Other stationary plant operator,712913 Miller - cement,Total,627,80025,78340,80033,80605,82877,81058
71 Machine and stationary plant operators,7129 Other stationary plant operator,712914 Concrete batching plant operator,Female,31,66857,65066,65221,72444,69464,68035
71 Machine and stationary plant operators,7129 Other stationary plant operator,712914 Concrete batching plant operator,Male,1193,79768,77438,79094,79368,83046,80826
71 Machine and stationary plant operators,7129 Other stationary plant operator,712914 Concrete batching plant operator,Total,1224,79441,77133,78742,79000,82702,80453
71 Machine and stationary plant operators,7129 Other stationary plant operator,712915 Concrete pump operator,Female,7,29256,19285,28044,18692,30006,21775
71 Machine and stationary plant operators,7129 Other stationary plant operator,712915 Concrete pump operator,Male,1660,73455,68897,73071,70903,78559,74269
71 Machine and stationary plant operators,7129 Other stationary plant operator,712915 Concrete pump operator,Total,1667,73270,68808,72880,70866,78355,73796
71 Machine and stationary plant operators,7129 Other stationary plant operator,712916 Paper mill operator,Female,8,57299,51106,59627,62403,58941,54200
71 Machine and stationary plant operators,7129 Other stationary plant operator,712916 Paper mill operator,Male,328,94286,96407,96207,98987,96268,98812
71 Machine and stationary plant operators,7129 Other stationary plant operator,712916 Paper mill operator,Total,336,93405,96074,95336,98162,95379,98151
71 Machine and stationary plant operators,7129 Other stationary plant operator,712917 Railway worker - signal operator,Female,56,84245,86098,86725,87241,86998,90520
71 Machine and stationary plant operators,7129 Other stationary plant operator,712917 Railway worker - signal operator,Male,609,108387,106309,109217,107959,112124,109909
71 Machine and stationary plant operators,7129 Other stationary plant operator,712917 Railway worker - signal operator,Total,665,106354,104825,107317,106007,110008,108152
71 Machine and stationary plant operators,7129 Other stationary plant operator,712918 Train controller,Female,207,103199,103215,105907,106787,105600,105582
71 Machine and stationary plant operators,7129 Other stationary plant operator,712918 Train controller,Male,1167,124166,128596,121464,130824,127044,131049
71 Machine and stationary plant operators,7129 Other stationary plant operator,712918 Train controller,Total,1374,121007,125186,119118,127766,123813,128153
71 Machine and stationary plant operators,7129 Other stationary plant operator,712921 Plant operator - waste water or water plant,Female,152,68656,62351,68662,64361,70613,63978
71 Machine and stationary plant operators,7129 Other stationary plant operator,712921 Plant operator - waste water or water plant,Male,3645,78917,76202,78862,77387,81168,78295
71 Machine and stationary plant operators,7129 Other stationary plant operator,712921 Plant operator - waste water or water plant,Total,3797,78506,75899,78455,76930,80745,77877
71 Machine and stationary plant operators,7129 Other stationary plant operator,712922 Weighbridge operator,Female,675,41110,38981,38441,35318,42332,40495
71 Machine and stationary plant operators,7129 Other stationary plant operator,712922 Weighbridge operator,Male,338,58574,62025,56731,60688,60198,63474
71 Machine and stationary plant operators,7129 Other stationary plant operator,712922 Weighbridge operator,Total,1013,46937,48207,44544,46743,48293,49527
71 Machine and stationary plant operators,7129 Other stationary plant operator,712999 Distiller,Female,10,23172,21152,25009,20390,24812,21424
71 Machine and stationary plant operators,7129 Other stationary plant operator,712999 Distiller,Male,84,56915,55140,56082,56160,58970,59751
71 Machine and stationary plant operators,7129 Other stationary plant operator,712999 Distiller,Total,94,53325,53502,52776,54600,55336,55000
72 Mobile plant operators,7210 Plant operator or labourer - type not specified,721000 Plant labourer - type not specified,Female,2,82460,82460,82972,82972,82972,82972
72 Mobile plant operators,7210 Plant operator or labourer - type not specified,721000 Plant labourer - type not specified,Male,114,73365,65660,69205,64250,75317,67493
72 Mobile plant operators,7210 Plant operator or labourer - type not specified,721000 Plant labourer - type not specified,Total,116,73521,65660,69444,64250,75449,67493
72 Mobile plant operators,"7211 Agricultural, forestry or horticultural plant operator",721111 Agricultural labourer - farm machinery operator,Female,1589,27028,21229,23821,17261,28125,21950
72 Mobile plant operators,"7211 Agricultural, forestry or horticultural plant operator",721111 Agricultural labourer - farm machinery operator,Male,10946,42135,39006,39381,36863,44427,41499
72 Mobile plant operators,"7211 Agricultural, forestry or horticultural plant operator",721111 Agricultural labourer - farm machinery operator,Total,12535,40220,36243,37403,33715,42359,38190
72 Mobile plant operators,"7211 Agricultural, forestry or horticultural plant operator",721112 Logging plant operator,Female,19,42244,40694,41041,39033,44202,41474
72 Mobile plant operators,"7211 Agricultural, forestry or horticultural plant operator",721112 Logging plant operator,Male,969,70662,70685,71587,72967,74920,75397
72 Mobile plant operators,"7211 Agricultural, forestry or horticultural plant operator",721112 Logging plant operator,Total,988,70116,70287,70995,72435,74329,74564
72 Mobile plant operators,7212 Earthmoving plant operator,721211 Earthmoving plant operator - general,Female,1708,79989,80303,82719,83997,82619,82818
72 Mobile plant operators,7212 Earthmoving plant operator,721211 Earthmoving plant operator - general,Male,31531,79887,73953,79851,75715,83719,78355
72 Mobile plant operators,7212 Earthmoving plant operator,721211 Earthmoving plant operator - general,Total,33239,79892,74178,79998,76044,83663,78561
72 Mobile plant operators,7212 Earthmoving plant operator,721212 Back hoe operator,Female,11,47070,38205,43142,39283,48019,38677
72 Mobile plant operators,7212 Earthmoving plant operator,721212 Back hoe operator,Male,441,63468,59416,58409,59299,66339,62439
72 Mobile plant operators,7212 Earthmoving plant operator,721212 Back hoe operator,Total,452,63069,59385,58065,59137,65893,62232
72 Mobile plant operators,7212 Earthmoving plant operator,721213 Bulldozer operator,Female,6,81972,90884,78414,91397,82901,91403
72 Mobile plant operators,7212 Earthmoving plant operator,721213 Bulldozer operator,Male,446,76923,75201,76210,77314,80720,79228
72 Mobile plant operators,7212 Earthmoving plant operator,721213 Bulldozer operator,Total,452,76990,75330,76239,77672,80749,79337
72 Mobile plant operators,7212 Earthmoving plant operator,721214 Excavator operator,Female,56,59357,53599,61655,57558,62032,58238
72 Mobile plant operators,7212 Earthmoving plant operator,721214 Excavator operator,Male,6052,66658,65010,67155,66524,71089,69438
72 Mobile plant operators,7212 Earthmoving plant operator,721214 Excavator operator,Total,6108,66591,64888,67104,66424,71006,69340
72 Mobile plant operators,7212 Earthmoving plant operator,721215 Grader operator,Female,92,44250,36464,43726,35965,45567,37122
72 Mobile plant operators,7212 Earthmoving plant operator,721215 Grader operator,Male,1370,71844,66725,70516,67323,74812,69834
72 Mobile plant operators,7212 Earthmoving plant operator,721215 Grader operator,Total,1462,70108,65872,68814,66406,72971,68604
72 Mobile plant operators,7212 Earthmoving plant operator,721216 Bobcat operator,Female,89,47140,39888,47534,38071,48806,41620
72 Mobile plant operators,7212 Earthmoving plant operator,721216 Bobcat operator,Male,1935,65846,63009,64599,63756,68656,65662
72 Mobile plant operators,7212 Earthmoving plant operator,721216 Bobcat operator,Total,2024,65023,62457,63840,63156,67782,65244
72 Mobile plant operators,7213 Forklift driver,721311 Driver - forklift,Female,1185,48031,48066,47527,48735,49586,49407
72 Mobile plant operators,7213 Forklift driver,721311 Driver - forklift,Male,31843,53885,52456,53284,53269,55761,54272
72 Mobile plant operators,7213 Forklift driver,721311 Driver - forklift,Total,33028,53675,52283,53078,53092,55540,54073
72 Mobile plant operators,7219 Other mobile plant operator,721911 Airline employee - baggage handling or ground crew,Female,1258,50670,48048,50654,49595,52912,50996
72 Mobile plant operators,7219 Other mobile plant operator,721911 Airline employee - baggage handling or ground crew,Male,6130,57539,56426,57636,57649,59909,59068
72 Mobile plant operators,7219 Other mobile plant operator,721911 Airline employee - baggage handling or ground crew,Total,7388,56369,55084,56448,56353,58718,57509
72 Mobile plant operators,7219 Other mobile plant operator,721912 Linemarker,Female,32,32033,36870,29171,25296,33512,37135
72 Mobile plant operators,7219 Other mobile plant operator,721912 Linemarker,Male,768,60938,59457,61604,61295,64675,63439
72 Mobile plant operators,7219 Other mobile plant operator,721912 Linemarker,Total,800,59782,58830,60298,60711,63427,62538
72 Mobile plant operators,7219 Other mobile plant operator,721913 Paving plant operator,Female,7,58455,61895,55375,62231,59864,62719
72 Mobile plant operators,7219 Other mobile plant operator,721913 Paving plant operator,Male,392,73923,71462,73709,73288,77643,73597
72 Mobile plant operators,7219 Other mobile plant operator,721913 Paving plant operator,Total,399,73652,71211,73384,73217,77332,73480
72 Mobile plant operators,7219 Other mobile plant operator,721914 Plant operator - railway track plant,Female,37,86320,84623,87863,91429,90880,91508
72 Mobile plant operators,7219 Other mobile plant operator,721914 Plant operator - railway track plant,Male,1227,95868,92536,97621,95957,102723,99948
72 Mobile plant operators,7219 Other mobile plant operator,721914 Plant operator - railway track plant,Total,1264,95588,92074,97334,95885,102376,99812
72 Mobile plant operators,7219 Other mobile plant operator,721915 Road roller operator,Female,27,61934,54207,48710,52361,64120,54725
72 Mobile plant operators,7219 Other mobile plant operator,721915 Road roller operator,Male,404,63594,61413,63044,62113,67359,64121
72 Mobile plant operators,7219 Other mobile plant operator,721915 Road roller operator,Total,431,63490,61198,62142,61796,67156,63746
72 Mobile plant operators,7219 Other mobile plant operator,721916 Streetsweeper operator,Female,11,42229,31688,39858,25987,44284,32943
72 Mobile plant operators,7219 Other mobile plant operator,721916 Streetsweeper operator,Male,404,65797,65568,65770,67237,68021,67804
72 Mobile plant operators,7219 Other mobile plant operator,721916 Streetsweeper operator,Total,415,65173,65136,65080,67047,67392,67244
72 Mobile plant operators,7219 Other mobile plant operator,721999 Dredge operator,Female,3,65525,54968,65758,55062,67133,55410
72 Mobile plant operators,7219 Other mobile plant operator,721999 Dredge operator,Male,405,118246,113645,115215,114997,124415,119247
72 Mobile plant operators,7219 Other mobile plant operator,721999 Dredge operator,Total,408,117859,112890,114844,114664,123994,119173
73 Road and rail drivers,7300 Driver - type not specified,730000 Driver - type not specified,Female,15,32645,20311,30632,16076,33973,20311
73 Road and rail drivers,7300 Driver - type not specified,730000 Driver - type not specified,Male,222,39309,38906,38057,36995,40983,40262
73 Road and rail drivers,7300 Driver - type not specified,730000 Driver - type not specified,Total,237,38888,38528,37575,35770,40539,40062
73 Road and rail drivers,7311 Automobile driver,731111 Chauffeur,Female,324,31648,25655,24209,18433,33293,26981
73 Road and rail drivers,7311 Automobile driver,731111 Chauffeur,Male,1794,41037,34470,33172,26152,43120,36187
73 Road and rail drivers,7311 Automobile driver,731111 Chauffeur,Total,2118,39601,32707,31803,24489,41621,34460
73 Road and rail drivers,7311 Automobile driver,731112 Cab driver,Female,214,26011,22645,21425,15335,27569,24343
73 Road and rail drivers,7311 Automobile driver,731112 Cab driver,Male,1942,27766,22556,20123,14200,29228,24010
73 Road and rail drivers,7311 Automobile driver,731112 Cab driver,Total,2156,27592,22584,20252,14417,29065,24032
73 Road and rail drivers,7312 Bus or coach driver,731211 Bus driver,Female,4524,44134,39044,40535,35834,45813,40427
73 Road and rail drivers,7312 Bus or coach driver,731211 Bus driver,Male,32069,54345,55434,51461,54984,56257,57401
73 Road and rail drivers,7312 Bus or coach driver,731211 Bus driver,Total,36593,53083,53594,50111,52684,54965,55501
73 Road and rail drivers,7312 Bus or coach driver,731212 Charter bus driver,Female,141,36706,32674,33676,30939,38924,36959
73 Road and rail drivers,7312 Bus or coach driver,731212 Charter bus driver,Male,1017,43338,40858,39068,36737,45522,43159
73 Road and rail drivers,7312 Bus or coach driver,731212 Charter bus driver,Total,1158,42530,40011,38409,36193,44719,41910
73 Road and rail drivers,7312 Bus or coach driver,731213 Coach driver,Female,127,40726,36912,39565,37360,43221,38169
73 Road and rail drivers,7312 Bus or coach driver,731213 Coach driver,Male,1500,50983,48765,47657,48270,54035,51845
73 Road and rail drivers,7312 Bus or coach driver,731213 Coach driver,Total,1627,50183,47723,47024,47113,53191,51041
73 Road and rail drivers,7313 Train or tram driver,731311 Driver - train or locomotive,Female,843,100015,104240,103449,109015,103409,107952
73 Road and rail drivers,7313 Train or tram driver,731311 Driver - train or locomotive,Male,9953,116224,116487,117145,119609,120122,120318
73 Road and rail drivers,7313 Train or tram driver,731311 Driver - train or locomotive,Total,10796,114959,115799,116074,118904,118816,119659
73 Road and rail drivers,7313 Train or tram driver,731312 Driver - tram,Female,246,77501,81469,79296,83437,79795,83628
73 Road and rail drivers,7313 Train or tram driver,731312 Driver - tram,Male,1122,83769,85651,84524,87633,86212,87952
73 Road and rail drivers,7313 Train or tram driver,731312 Driver - tram,Total,1368,82642,84666,83587,86841,85058,87119
73 Road and rail drivers,7321 Delivery driver,732111 Delivery driver,Female,4906,30092,28016,26937,24974,31470,29635
73 Road and rail drivers,7321 Delivery driver,732111 Delivery driver,Male,40488,37712,36116,35281,34295,39351,37676
73 Road and rail drivers,7321 Delivery driver,732111 Delivery driver,Total,45394,36889,35073,34379,32991,38499,36733
73 Road and rail drivers,7331 Truck driver,733111 Concrete mixer driver,Female,4134,63579,58725,64214,60356,66628,62256
73 Road and rail drivers,7331 Truck driver,733111 Concrete mixer driver,Male,144279,64746,63563,65365,65566,69616,67897
73 Road and rail drivers,7331 Truck driver,733111 Concrete mixer driver,Total,148413,64714,63468,65333,65467,69533,67769
73 Road and rail drivers,7331 Truck driver,733112 Aircraft refueller,Female,31,53978,52953,54119,58322,56883,58490
73 Road and rail drivers,7331 Truck driver,733112 Aircraft refueller,Male,673,80634,83027,80643,85485,83428,85477
73 Road and rail drivers,7331 Truck driver,733112 Aircraft refueller,Total,704,79460,82068,79471,84676,82259,84584
73 Road and rail drivers,7331 Truck driver,733113 Driver - furniture removalist,Female,442,28240,24103,23293,20024,30161,24853
73 Road and rail drivers,7331 Truck driver,733113 Driver - furniture removalist,Male,5699,37461,35396,35728,34720,39300,37140
73 Road and rail drivers,7331 Truck driver,733113 Driver - furniture removalist,Total,6141,36797,34560,34831,33319,38642,36248
73 Road and rail drivers,7331 Truck driver,733114 Driver - tanker,Female,10,75458,72588,76747,75539,79910,75776
73 Road and rail drivers,7331 Truck driver,733114 Driver - tanker,Male,1164,90579,92777,95952,98943,98937,100752
73 Road and rail drivers,7331 Truck driver,733114 Driver - tanker,Total,1174,90450,92653,95787,98875,98775,100483
73 Road and rail drivers,7331 Truck driver,733115 Driver - tow truck,Female,24,45064,39315,40486,28161,47295,40266
73 Road and rail drivers,7331 Truck driver,733115 Driver - tow truck,Male,1563,59381,58282,57405,59086,62709,60880
73 Road and rail drivers,7331 Truck driver,733115 Driver - tow truck,Total,1587,59165,58113,57146,58885,62476,60682
74 Storepersons,7411 Storeperson,741111 Storeperson,Female,26081,37935,37295,36140,36471,39027,38434
74 Storepersons,7411 Storeperson,741111 Storeperson,Male,116023,46449,45866,45113,46014,47804,47165
74 Storepersons,7411 Storeperson,741111 Storeperson,Total,142104,44886,44362,43469,44450,46193,45623
81 Cleaners and laundry workers,8110 Cleaner - type not specified,811000 Cleaner - type not specified,Female,951,22431,20301,20046,16038,23277,21050
81 Cleaners and laundry workers,8110 Cleaner - type not specified,811000 Cleaner - type not specified,Male,593,26680,23795,23975,19833,27611,24224
81 Cleaners and laundry workers,8110 Cleaner - type not specified,811000 Cleaner - type not specified,Total,1544,24063,21250,21565,17481,24941,22004
81 Cleaners and laundry workers,8111 Car detailer,811111 Attendant - car wash,Female,1485,31233,32508,29301,31407,32222,33533
81 Cleaners and laundry workers,8111 Car detailer,811111 Attendant - car wash,Male,12315,32591,33657,30821,32701,33657,35006
81 Cleaners and laundry workers,8111 Car detailer,811111 Attendant - car wash,Total,13800,32445,33507,30657,32505,33503,34844
81 Cleaners and laundry workers,8112 Cleaner - commercial,811211 Cleaner - commercial,Female,68347,30142,28045,27150,25152,31205,29100
81 Cleaners and laundry workers,8112 Cleaner - commercial,811211 Cleaner - commercial,Male,41589,34434,32277,31854,29877,35795,33657
81 Cleaners and laundry workers,8112 Cleaner - commercial,811211 Cleaner - commercial,Total,109936,31766,29346,28926,26609,32942,30525
81 Cleaners and laundry workers,8113 Cleaner - domestic,811311 Cleaner - domestic,Female,10706,25973,23552,21442,18311,26984,24595
81 Cleaners and laundry workers,8113 Cleaner - domestic,811311 Cleaner - domestic,Male,1961,30335,26695,26895,24142,31572,28000
81 Cleaners and laundry workers,8113 Cleaner - domestic,811311 Cleaner - domestic,Total,12667,26648,23938,22281,19044,27694,25011
81 Cleaners and laundry workers,8114 Housekeeper,811400 Housekeeper - type not specified,Female,259,20308,17162,18838,16010,20733,17178
81 Cleaners and laundry workers,8114 Housekeeper,811400 Housekeeper - type not specified,Male,53,14499,13740,14741,13828,14741,13740
81 Cleaners and laundry workers,8114 Housekeeper,811400 Housekeeper - type not specified,Total,312,19322,16340,18149,15200,19712,16370
81 Cleaners and laundry workers,8114 Housekeeper,811411 Hospitality employee - housekeeper,Female,21054,27745,26658,26262,24857,28470,27402
81 Cleaners and laundry workers,8114 Housekeeper,811411 Hospitality employee - housekeeper,Male,4629,28503,26851,27838,25707,29274,27516
81 Cleaners and laundry workers,8114 Housekeeper,811411 Hospitality employee - housekeeper,Total,25683,27882,26675,26546,24961,28615,27424
81 Cleaners and laundry workers,8114 Housekeeper,811412 Housekeeper - domestic,Female,5951,25557,24032,22832,20256,26307,24790
81 Cleaners and laundry workers,8114 Housekeeper,811412 Housekeeper - domestic,Male,1071,23297,20421,22155,19355,23956,21086
81 Cleaners and laundry workers,8114 Housekeeper,811412 Housekeeper - domestic,Total,7022,25212,23539,22729,20080,25948,24285
81 Cleaners and laundry workers,8115 Laundry worker,811511 Laundry worker,Female,6921,34138,34787,32438,34048,35018,35760
81 Cleaners and laundry workers,8115 Laundry worker,811511 Laundry worker,Male,2936,35890,36504,34549,36266,36882,37666
81 Cleaners and laundry workers,8115 Laundry worker,811511 Laundry worker,Total,9857,34660,35200,33067,34610,35573,36291
81 Cleaners and laundry workers,8115 Laundry worker,811512 Cleaner - drycleaner,Female,944,33519,31742,29282,28529,34306,32487
81 Cleaners and laundry workers,8115 Laundry worker,811512 Cleaner - drycleaner,Male,612,41093,37643,36269,35404,42244,39119
81 Cleaners and laundry workers,8115 Laundry worker,811512 Cleaner - drycleaner,Total,1556,36498,33938,32020,31200,37422,34764
81 Cleaners and laundry workers,8115 Laundry worker,811513 Ironer or presser - laundry,Female,301,28706,26837,25377,22381,29411,28039
81 Cleaners and laundry workers,8115 Laundry worker,811513 Ironer or presser - laundry,Male,85,30905,29273,29493,29212,31749,30738
81 Cleaners and laundry workers,8115 Laundry worker,811513 Ironer or presser - laundry,Total,386,29190,27922,26261,25004,29926,28770
81 Cleaners and laundry workers,8116 Other cleaner,811611 Carpet cleaner,Female,353,28651,25504,25486,21127,29617,26330
81 Cleaners and laundry workers,8116 Other cleaner,811611 Carpet cleaner,Male,1044,37899,35535,34849,34945,39464,37278
81 Cleaners and laundry workers,8116 Other cleaner,811611 Carpet cleaner,Total,1397,35562,32676,32472,30110,36974,34024
81 Cleaners and laundry workers,8116 Other cleaner,811612 Cleaner - window,Female,90,32525,26623,25614,19831,34539,28061
81 Cleaners and laundry workers,8116 Other cleaner,811612 Cleaner - window,Male,965,40940,37903,37774,36290,43263,39828
81 Cleaners and laundry workers,8116 Other cleaner,811612 Cleaner - window,Total,1055,40222,37496,36736,34575,42519,38992
81 Cleaners and laundry workers,8116 Other cleaner,811699 Chimney sweep,Female,20124,31833,29507,28624,26617,32877,30536
81 Cleaners and laundry workers,8116 Other cleaner,811699 Chimney sweep,Male,13884,36834,34282,33962,31884,38154,35549
81 Cleaners and laundry workers,8116 Other cleaner,811699 Chimney sweep,Total,34008,33875,31164,30801,28360,35031,32278
82 Construction and mining labourers,8200 Labourer - type not specified,820000 Labourer - type not specified,Female,68,21312,15280,19244,13064,22080,15951
82 Construction and mining labourers,8200 Labourer - type not specified,820000 Labourer - type not specified,Male,949,26749,18832,24337,16094,27378,19393
