Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
12 Farmers and farm managers,1213 Livestock farmer,121315 Goat farmer or farm overseer,Total,40,48174,39083,34119,30450,49868,40385
12 Farmers and farm managers,1213 Livestock farmer,121316 Horse breeder,Female,116,41992,38794,38271,38634,44353,42159
12 Farmers and farm managers,1213 Livestock farmer,121316 Horse breeder,Male,125,61001,52111,52638,53191,64722,54183
12 Farmers and farm managers,1213 Livestock farmer,121316 Horse breeder,Total,241,51851,43262,45609,44744,54918,46968
12 Farmers and farm managers,1213 Livestock farmer,121317 Livestock farmer or farm overseer - mixed livestock,Female,233,43816,36571,30981,25399,48587,39019
12 Farmers and farm managers,1213 Livestock farmer,121317 Livestock farmer or farm overseer - mixed livestock,Male,1417,55191,49648,49572,50115,59869,54289
12 Farmers and farm managers,1213 Livestock farmer,121317 Livestock farmer or farm overseer - mixed livestock,Total,1650,53585,47785,47067,47791,58281,52595
12 Farmers and farm managers,1213 Livestock farmer,121318 Pig farmer or farm overseer,Female,294,45843,43818,39997,42775,47536,45559
12 Farmers and farm managers,1213 Livestock farmer,121318 Pig farmer or farm overseer,Male,935,55388,53916,53457,55567,57637,55828
12 Farmers and farm managers,1213 Livestock farmer,121318 Pig farmer or farm overseer,Total,1229,53105,52401,50258,54116,55221,54885
12 Farmers and farm managers,1213 Livestock farmer,121321 Poultry farmer or farm overseer,Female,275,49474,44538,40556,42350,51952,46002
12 Farmers and farm managers,1213 Livestock farmer,121321 Poultry farmer or farm overseer,Male,996,60932,55741,56017,56638,63879,58932
12 Farmers and farm managers,1213 Livestock farmer,121321 Poultry farmer or farm overseer,Total,1271,58452,53414,52733,53065,61304,56553
12 Farmers and farm managers,1213 Livestock farmer,121322 Sheep farmer or farm overseer,Female,148,44894,33724,22760,18000,48821,36188
12 Farmers and farm managers,1213 Livestock farmer,121322 Sheep farmer or farm overseer,Male,640,54249,45963,40395,40991,58739,50074
12 Farmers and farm managers,1213 Livestock farmer,121322 Sheep farmer or farm overseer,Total,788,52492,43766,37245,34971,56876,47841
12 Farmers and farm managers,1213 Livestock farmer,121399 Farmer/farm overseer - other livestock,Female,184,57233,34767,32644,28427,61648,37238
12 Farmers and farm managers,1213 Livestock farmer,121399 Farmer/farm overseer - other livestock,Male,798,65068,54693,53604,50883,69556,58700
12 Farmers and farm managers,1213 Livestock farmer,121399 Farmer/farm overseer - other livestock,Total,982,63600,51680,49663,47474,68072,56666
12 Farmers and farm managers,1214 Mixed crop and livestock farmer,121411 Grain and livestock farmer or farm overseer,Female,551,55906,38363,24185,19200,61986,41448
12 Farmers and farm managers,1214 Mixed crop and livestock farmer,121411 Grain and livestock farmer or farm overseer,Male,2863,63554,54414,47844,47832,70951,59393
12 Farmers and farm managers,1214 Mixed crop and livestock farmer,121411 Grain and livestock farmer or farm overseer,Total,3414,62319,52679,44273,42442,69504,57355
